entidad,tramo_gestion,proveedor,tipo,casos_activos_con_telefono,telefonos_total,telefonos_contactados_ivr,telefonos_sin_contacto_ivr,sms_total,sms_cortos,sms_largos,importe_asignado,importe_base_deuda
DRTW,4) 91 a 180 dias,Sin proveedor,FIJO,45,49,13,36,114,90,24,6828662.80,6828662.80
DRTW,4) 91 a 180 dias,Sin proveedor,MOVIL,1,1,0,1,6,3,3,85245.53,85245.53
DRTW,4) 91 a 180 dias,telecentro,FIJO,2,2,0,2,4,4,0,408194.21,408194.21
DRTW,4) 91 a 180 dias,telecentro,MOVIL,1,1,0,1,0,0,0,198680.77,198680.77
DRTW,4) 91 a 180 dias,telecom,FIJO,209,247,20,227,821,547,274,33209589.73,33209589.73
DRTW,4) 91 a 180 dias,telefonica,FIJO,179,201,16,185,496,395,101,27029932.76,27029932.76
EDE1,1) 0 a 30 dias,claro,FIJO,43,44,1,43,28,12,16,14018661.28,14018661.28
EDE1,1) 0 a 30 dias,claro,MOVIL,2828,3510,239,3271,1741,756,985,1123935661.99,1123935661.99
EDE1,1) 0 a 30 dias,movistar,MOVIL,4395,6368,2744,3624,3915,2222,1693,1705821120.27,1705821120.27
EDE1,1) 0 a 30 dias,personal,MOVIL,2918,3812,1598,2214,4423,637,3786,1131759141.92,1131759141.92
EDE1,1) 0 a 30 dias,Sin proveedor,FIJO,127,130,19,111,143,39,104,41934543.67,41934543.67
EDE1,1) 0 a 30 dias,Sin proveedor,MOVIL,7,7,0,7,4,1,3,1067062.14,1067062.14
EDE1,1) 0 a 30 dias,telecentro,FIJO,374,388,104,284,276,108,168,113964001.64,113964001.64
EDE1,1) 0 a 30 dias,telecentro,MOVIL,1,1,0,1,0,0,0,72408.11,72408.11
EDE1,1) 0 a 30 dias,telecom,FIJO,483,574,62,512,497,163,334,151932819.40,151932819.40
EDE1,1) 0 a 30 dias,telefonica,FIJO,3304,3956,406,3550,2823,1034,1789,1129678137.55,1129678137.55
EDE1,2) 31 a 60 dias,claro,FIJO,98,98,25,73,141,41,100,72758554.71,72758554.71
EDE1,2) 31 a 60 dias,claro,MOVIL,5683,6889,1630,5259,5174,2244,2930,4199543291.72,4199543291.72
EDE1,2) 31 a 60 dias,movistar,MOVIL,9527,13382,4402,8980,9810,4222,5588,6941236942.57,6941236942.57
EDE1,2) 31 a 60 dias,personal,MOVIL,5990,7635,2487,5148,15163,1111,14052,4171069306.84,4171069306.84
EDE1,2) 31 a 60 dias,Sin proveedor,FIJO,237,245,16,229,260,56,204,156966230.81,156966230.81
EDE1,2) 31 a 60 dias,Sin proveedor,MOVIL,17,17,0,17,14,7,7,12844076.69,12844076.69
EDE1,2) 31 a 60 dias,telecentro,FIJO,632,654,89,565,747,188,559,441922605.52,441922605.52
EDE1,2) 31 a 60 dias,telecentro,MOVIL,11,11,0,11,9,3,6,10693484.59,10693484.59
EDE1,2) 31 a 60 dias,telecom,FIJO,685,777,101,676,1150,226,924,305894469.30,305894469.30
EDE1,2) 31 a 60 dias,telefonica,FIJO,5889,7057,572,6485,7446,1651,5795,3533992936.07,3533992936.07
EDE2,1) 0 a 30 dias,claro,MOVIL,2,11,0,11,0,0,0,8224419.52,8224419.52
EDE2,1) 0 a 30 dias,movistar,MOVIL,8,14,0,14,0,0,0,34871660.55,34871660.55
EDE2,1) 0 a 30 dias,personal,MOVIL,8,16,0,16,0,0,0,125314993.89,125314993.89
EDE2,1) 0 a 30 dias,Sin proveedor,FIJO,3,7,0,7,0,0,0,9672430.10,9672430.10
EDE2,1) 0 a 30 dias,telecentro,FIJO,1,1,0,1,0,0,0,2112249.20,2112249.20
EDE2,1) 0 a 30 dias,telecom,FIJO,3,15,0,15,0,0,0,101771930.26,101771930.26
EDE2,1) 0 a 30 dias,telefonica,FIJO,8,21,0,21,0,0,0,127125797.77,127125797.77
EDE2,2) 31 a 60 dias,claro,FIJO,1,1,0,1,0,0,0,20867554.84,20867554.84
EDE2,2) 31 a 60 dias,claro,MOVIL,11,14,0,14,0,0,0,229441487.20,229441487.20
EDE2,2) 31 a 60 dias,movistar,MOVIL,23,32,0,32,0,0,0,580676295.54,580676295.54
EDE2,2) 31 a 60 dias,personal,MOVIL,17,22,0,22,0,0,0,500347670.35,500347670.35
EDE2,2) 31 a 60 dias,Sin proveedor,FIJO,4,5,0,5,0,0,0,123954062.23,123954062.23
EDE2,2) 31 a 60 dias,telecentro,FIJO,1,1,0,1,0,0,0,12354363.77,12354363.77
EDE2,2) 31 a 60 dias,telecom,FIJO,9,15,0,15,0,0,0,265780797.96,265780797.96
EDE2,2) 31 a 60 dias,telefonica,FIJO,23,36,0,36,0,0,0,559496424.68,559496424.68
MEL0,1) 0 a 30 dias,claro,FIJO,7,7,1,6,12,3,9,363406.65,363406.65
MEL0,1) 0 a 30 dias,claro,MOVIL,17343,21052,2098,18954,4404,3828,576,1327335897.05,1327335897.05
MEL0,1) 0 a 30 dias,movistar,MOVIL,13698,17173,3730,13443,3022,2374,648,1048435086.92,1048435086.92
MEL0,1) 0 a 30 dias,personal,MOVIL,21622,26725,4194,22531,16993,4617,12376,1665044636.63,1665044636.63
MEL0,1) 0 a 30 dias,Sin proveedor,FIJO,58,59,0,59,27,15,12,4122105.01,4122105.01
MEL0,1) 0 a 30 dias,Sin proveedor,MOVIL,6,6,0,6,23,8,15,257446.05,257446.05
MEL0,1) 0 a 30 dias,telecentro,FIJO,1,1,0,1,0,0,0,44732.97,44732.97
MEL0,1) 0 a 30 dias,telecom,FIJO,128,132,7,125,77,44,33,9545110.91,9545110.91
MEL0,1) 0 a 30 dias,telefonica,FIJO,87,88,6,82,11,11,0,6185978.95,6185978.95
MEL0,2) 31 a 60 dias,claro,FIJO,9,9,0,9,3,3,0,735783.64,735783.64
MEL0,2) 31 a 60 dias,claro,MOVIL,9408,11891,1208,10683,3081,2000,1081,704881196.51,704881196.51
MEL0,2) 31 a 60 dias,movistar,MOVIL,7985,11239,2093,9146,2861,1863,998,599010779.48,599010779.48
MEL0,2) 31 a 60 dias,personal,MOVIL,12437,17647,3044,14603,13351,2531,10820,941137666.71,941137666.71
MEL0,2) 31 a 60 dias,Sin proveedor,FIJO,85,91,7,84,67,27,40,5983589.95,5983589.95
MEL0,2) 31 a 60 dias,Sin proveedor,MOVIL,6,6,0,6,2,1,1,472744.57,472744.57
MEL0,2) 31 a 60 dias,telecentro,FIJO,21,21,4,17,10,8,2,1413505.10,1413505.10
MEL0,2) 31 a 60 dias,telecentro,MOVIL,4,4,0,4,7,1,6,297461.40,297461.40
MEL0,2) 31 a 60 dias,telecom,FIJO,485,538,26,512,372,93,279,37042497.60,37042497.60
MEL0,2) 31 a 60 dias,telefonica,FIJO,437,475,40,435,178,100,78,32689484.98,32689484.98
OEST,1) 0 a 30 dias,claro,FIJO,8,8,2,6,3,0,3,57745.45,57745.45
OEST,1) 0 a 30 dias,claro,MOVIL,1028,1200,474,726,210,56,154,10437255.02,10437255.02
OEST,1) 0 a 30 dias,movistar,MOVIL,1925,2944,1052,1892,448,106,342,17049237.54,17049237.54
OEST,1) 0 a 30 dias,personal,MOVIL,1398,1846,686,1160,1478,31,1447,13385022.44,13385022.44
OEST,1) 0 a 30 dias,Sin proveedor,FIJO,106,115,0,115,51,5,46,1031967.65,1031967.65
OEST,1) 0 a 30 dias,Sin proveedor,MOVIL,4,4,0,4,3,0,3,13282.82,13282.82
OEST,1) 0 a 30 dias,telecentro,FIJO,121,122,27,95,31,2,29,1227025.00,1227025.00
OEST,1) 0 a 30 dias,telecom,FIJO,618,834,59,775,328,24,304,4684015.68,4684015.68
OEST,1) 0 a 30 dias,telefonica,FIJO,945,1438,106,1332,393,40,353,8716616.19,8716616.19
OEST,2) 31 a 60 dias,claro,FIJO,7,7,0,7,6,2,4,47445.22,47445.22
OEST,2) 31 a 60 dias,claro,MOVIL,963,1123,513,610,480,227,253,10143708.77,10143708.77
OEST,2) 31 a 60 dias,movistar,MOVIL,1703,2442,939,1503,969,400,569,16967132.19,16967132.19
OEST,2) 31 a 60 dias,personal,MOVIL,1314,1689,685,1004,3064,259,2805,18847686.13,18847686.13
OEST,2) 31 a 60 dias,Sin proveedor,FIJO,94,105,3,102,86,22,64,5304835.13,5304835.13
OEST,2) 31 a 60 dias,Sin proveedor,MOVIL,1,1,0,1,0,0,0,1398.18,1398.18
OEST,2) 31 a 60 dias,telecentro,FIJO,129,130,23,107,96,30,66,1379189.69,1379189.69
OEST,2) 31 a 60 dias,telecom,FIJO,595,840,69,771,653,93,560,8801346.81,8801346.81
OEST,2) 31 a 60 dias,telefonica,FIJO,779,981,108,873,697,167,530,7309156.14,7309156.14
OEST,3) 61 a 90 dias,claro,FIJO,16,16,4,12,19,7,12,254786.69,254786.69
OEST,3) 61 a 90 dias,claro,MOVIL,845,980,406,574,600,336,264,9838912.09,9838912.09
OEST,3) 61 a 90 dias,movistar,MOVIL,1655,2606,741,1865,1218,574,644,16036138.55,16036138.55
OEST,3) 61 a 90 dias,personal,MOVIL,1221,1628,624,1004,2857,186,2671,13910464.31,13910464.31
OEST,3) 61 a 90 dias,Sin proveedor,FIJO,90,121,2,119,113,25,88,1003563.65,1003563.65
OEST,3) 61 a 90 dias,Sin proveedor,MOVIL,3,3,0,3,2,0,2,6787.60,6787.60
OEST,3) 61 a 90 dias,telecentro,FIJO,128,130,22,108,70,11,59,1177511.73,1177511.73
OEST,3) 61 a 90 dias,telecom,FIJO,561,932,70,862,727,115,612,6966189.30,6966189.30
OEST,3) 61 a 90 dias,telefonica,FIJO,748,1398,81,1317,753,157,596,8724477.25,8724477.25
OEST,4) 91 a 180 dias,claro,FIJO,56,56,16,40,41,9,32,471186.26,471186.26
OEST,4) 91 a 180 dias,claro,MOVIL,2436,2838,1317,1521,2724,1074,1650,29357272.81,29357272.81
OEST,4) 91 a 180 dias,movistar,MOVIL,4512,6622,2159,4463,4174,1736,2438,42760589.95,42760589.95
OEST,4) 91 a 180 dias,personal,MOVIL,3249,4316,1765,2551,8531,748,7783,42182230.72,42182230.72
OEST,4) 91 a 180 dias,Sin proveedor,FIJO,250,259,13,246,314,62,252,2910476.60,2910476.60
OEST,4) 91 a 180 dias,Sin proveedor,MOVIL,6,6,0,6,6,0,6,27453.89,27453.89
OEST,4) 91 a 180 dias,telecentro,FIJO,349,350,50,300,266,42,224,2851142.87,2851142.87
OEST,4) 91 a 180 dias,telecom,FIJO,1504,1981,164,1817,2186,484,1702,14944925.52,14944925.52
OEST,4) 91 a 180 dias,telefonica,FIJO,2267,2980,261,2719,2769,696,2073,27998885.71,27998885.71
OEST,5) 181 a 360 dias,claro,FIJO,76,77,7,70,104,21,83,696690.24,696690.24
OEST,5) 181 a 360 dias,claro,MOVIL,3761,4451,1197,3254,2957,1143,1814,44076249.94,44076249.94
OEST,5) 181 a 360 dias,movistar,MOVIL,7203,10950,3813,7137,7715,2495,5220,69101313.67,69101313.67
OEST,5) 181 a 360 dias,personal,MOVIL,5272,7099,2901,4198,15547,1997,13550,54795026.42,54795026.42
OEST,5) 181 a 360 dias,Sin proveedor,FIJO,449,509,20,489,719,128,591,5632480.49,5632480.49
OEST,5) 181 a 360 dias,Sin proveedor,MOVIL,13,13,0,13,15,1,14,189345.07,189345.07
OEST,5) 181 a 360 dias,telecentro,FIJO,588,593,101,492,518,77,441,4366136.08,4366136.08
OEST,5) 181 a 360 dias,telecentro,MOVIL,3,3,0,3,11,5,6,26327.32,26327.32
OEST,5) 181 a 360 dias,telecom,FIJO,2669,3911,338,3573,4061,770,3291,21845265.53,21845265.53
OEST,5) 181 a 360 dias,telefonica,FIJO,3621,5682,498,5184,4504,1015,3489,33685134.42,33685134.42
OEST,6) Mayor a 360 dias,claro,FIJO,288,289,87,202,170,62,108,1060373.08,1060373.08
OEST,6) Mayor a 360 dias,claro,MOVIL,9496,11413,5151,6262,11860,8165,3695,56648990.00,56648990.00
OEST,6) Mayor a 360 dias,movistar,MOVIL,17840,26235,10539,15696,23947,13536,10411,90439541.32,90439541.32
OEST,6) Mayor a 360 dias,personal,MOVIL,13336,18091,7889,10202,42576,11628,30948,71353212.76,71353212.76
OEST,6) Mayor a 360 dias,Sin proveedor,FIJO,1205,1402,155,1247,1915,668,1247,4971750.17,4971750.17
OEST,6) Mayor a 360 dias,Sin proveedor,MOVIL,26,26,0,26,65,25,40,195499.99,195499.99
OEST,6) Mayor a 360 dias,telecentro,FIJO,1921,1936,458,1478,1581,602,979,7097352.36,7097352.36
OEST,6) Mayor a 360 dias,telecentro,MOVIL,4,4,0,4,4,4,0,6575.02,6575.02
OEST,6) Mayor a 360 dias,telecom,FIJO,6909,9920,1289,8631,11855,4213,7642,27805067.33,27805067.33
OEST,6) Mayor a 360 dias,telefonica,FIJO,10313,16257,2049,14208,13343,5333,8010,49587259.29,49587259.29
REVO,1) 0 a 30 dias,claro,FIJO,137,141,1,140,11,11,0,3530642.37,3530642.37
REVO,1) 0 a 30 dias,claro,MOVIL,25360,33529,159,33370,1078,1078,0,526402946.32,526402946.32
REVO,1) 0 a 30 dias,movistar,MOVIL,23503,33812,2034,31778,1020,1020,0,402157461.50,402157461.50
REVO,1) 0 a 30 dias,personal,MOVIL,28263,41482,3039,38443,1533,1533,0,609218073.04,609218073.04
REVO,1) 0 a 30 dias,Sin proveedor,FIJO,2882,3105,21,3084,64,64,0,34847537.60,34847537.60
REVO,1) 0 a 30 dias,Sin proveedor,MOVIL,29,30,0,30,2,2,0,568486.55,568486.55
REVO,1) 0 a 30 dias,telecentro,FIJO,379,383,3,380,4,4,0,5122408.06,5122408.06
REVO,1) 0 a 30 dias,telecentro,MOVIL,2,2,0,2,0,0,0,426.18,426.18
REVO,1) 0 a 30 dias,telecom,FIJO,10046,11960,40,11920,254,254,0,91466917.58,91466917.58
REVO,1) 0 a 30 dias,telefonica,FIJO,13433,15661,36,15625,223,223,0,106973222.59,106973222.59
REVO,2) 31 a 60 dias,claro,FIJO,198,202,19,183,6,4,2,4335158.87,4335158.87
REVO,2) 31 a 60 dias,claro,MOVIL,46102,59982,2178,57804,1205,388,817,628958781.01,628958781.01
REVO,2) 31 a 60 dias,movistar,MOVIL,40725,58215,3751,54464,1277,555,722,484437102.69,484437102.69
REVO,2) 31 a 60 dias,personal,MOVIL,48929,70364,5205,65159,5250,647,4603,716731186.67,716731186.67
REVO,2) 31 a 60 dias,Sin proveedor,FIJO,4289,4572,261,4311,104,32,72,39245240.82,39245240.82
REVO,2) 31 a 60 dias,Sin proveedor,MOVIL,44,45,2,43,0,0,0,324208.22,324208.22
REVO,2) 31 a 60 dias,telecentro,FIJO,600,610,36,574,14,10,4,6814612.96,6814612.96
REVO,2) 31 a 60 dias,telecom,FIJO,12876,14878,356,14522,464,115,349,117645312.27,117645312.27
REVO,2) 31 a 60 dias,telefonica,FIJO,19504,22376,553,21823,308,124,184,135598402.99,135598402.99
REVO,3) 61 a 90 dias,claro,FIJO,212,220,23,197,8,7,1,4378031.62,4378031.62
REVO,3) 61 a 90 dias,claro,MOVIL,38058,50593,2056,48537,3341,597,2744,685469038.72,685469038.72
REVO,3) 61 a 90 dias,movistar,MOVIL,32961,47678,3885,43793,3159,682,2477,521383288.61,521383288.61
REVO,3) 61 a 90 dias,personal,MOVIL,41287,61544,5731,55813,16442,846,15596,764483962.25,764483962.25
REVO,3) 61 a 90 dias,Sin proveedor,FIJO,3088,3270,224,3046,146,33,113,37847210.93,37847210.93
REVO,3) 61 a 90 dias,Sin proveedor,MOVIL,37,37,0,37,1,1,0,1476025.37,1476025.37
REVO,3) 61 a 90 dias,telecentro,FIJO,553,566,50,516,17,4,13,6520414.88,6520414.88
REVO,3) 61 a 90 dias,telecom,FIJO,9688,11245,347,10898,1590,125,1465,118877136.65,118877136.65
REVO,3) 61 a 90 dias,telefonica,FIJO,14114,16287,520,15767,628,146,482,143386011.10,143386011.10
REVO,4) 91 a 180 dias,claro,FIJO,377,383,43,340,24,4,20,6575474.89,6575474.89
REVO,4) 91 a 180 dias,claro,MOVIL,79476,105275,3529,101746,1840,599,1241,972577693.02,972577693.02
REVO,4) 91 a 180 dias,movistar,MOVIL,73307,106640,7283,99357,1657,555,1102,777996339.05,777996339.05
REVO,4) 91 a 180 dias,personal,MOVIL,90149,136966,10639,126327,8246,889,7357,1117816973.35,1117816973.35
REVO,4) 91 a 180 dias,Sin proveedor,FIJO,7304,7780,470,7310,138,20,118,56214692.44,56214692.44
REVO,4) 91 a 180 dias,Sin proveedor,MOVIL,58,58,0,58,7,0,7,681388.68,681388.68
REVO,4) 91 a 180 dias,telecentro,FIJO,1188,1197,72,1125,20,3,17,11051365.57,11051365.57
REVO,4) 91 a 180 dias,telecentro,MOVIL,2,2,0,2,0,0,0,1036.52,1036.52
REVO,4) 91 a 180 dias,telecom,FIJO,24674,28828,771,28057,1087,93,994,181747821.50,181747821.50
REVO,4) 91 a 180 dias,telefonica,FIJO,36019,41696,870,40826,519,87,432,219674943.54,219674943.54
